english,hex,german
Linen,#FAF0E6,Leinenfarbe
Magenta,#FF00FF,Magentarot
Maroon,#800000,Kastanienbraun
Mediumaquamarine,#66CDAA,Mittleres Aquamarinblau
Mediumaquamarine,#66CDAA,Mittelaquamarinblau
Mediumblue,#0000CD,Mittelblau
Mediumorchid,#BA55D3,Mittlere Orchideenfarbe
Mediumorchid,#BA55D3,Mittelorchideenfarbe
Mediumpurple,#9370DB,Mittleres Violett
Mediumpurple,#9370DB,Mittelviolett
Mediumseagreen,#3CB371,Mittleres Seegrün
Mediumseagreen,#3CB371,Mittelseegrün
Mediumslateblue,#7B68EE,Mittleres Schieferblau
Mediumslateblue,#7B68EE,Mittelschieferblau
Mediumspringgreen,#00FA9A,Mittleres Frühlingsgrün
Mediumspringgreen,#00FA9A,Mittelfrühlingsgrün
Mediumturqoise,#48D1CC,Mittleres Türkis
Mediumturqoise,#48D1CC,Mitteltürkis
Mediumvioletred,#C71585,Mittleres Violettrot
Mediumvioletred,#C71585,Mittelviolettrot
Midnightblue,#191970,Mitternachtsblau
Mintcream,#F5FFFA,Cremig Pfefferminz
Mintcream,#F5FFFA,Cremepfefferminz
Mistyrose,#FFE4E1,Altrosa
Navajowhite,#FFDEAD,Navajoweiß
Navy,#000080,Marineblau
Oldlace,#FDF5E6,Altgold
Olive,#808000,Olivgrün
Olivedrab,#6B8E23,Olivfarbiges Graubraun
Orange,#FFA500,Orange
Orangered,#FF4500,Orangenrot
Orchid,#DA70D6,Orchidee
Palegoldenrod,#EEE8AA,Blasse Goldrutenfarbe
Palegoldenrod,#EEE8AA,Blassgoldrutenfarbe
Palegreen,#98FB98,Blassgrün
Paleturquoise,#AFEEEE,Blasses Türkis
Paleturquoise,#AFEEEE,Blasstürkis
Palevioletred,#DB7093,Blassviolettrot
Papayawhip,#FFEFD5,Cremiepapaya
Peachpuff,#FFDAB9,Pfirsich
Peru,#CD853F,Peru
Pink,#FFC0CB,Rosa
Plum,#DDA0DD,Pflaume
Powderblue,#B0E0E6,Taubenblau
Purple,#800080,Violett
Red,#FF0000,Rot
Rosybrown,#BC8F8F,Rosiges Braun
Rosybrown,#BC8F8F,Rosigbraun
Royalblue,#4169E1,Königsblau
Saddlebrown,#8B4513,Sattelbraun
Salmon,#FA8072,Lachs
Sandybrown,#F4A460,Sandbraun
Seagreen,#2E8B57,Seegrün
Seashell,#FFF5EE,Muschel
Sienna,#A0522D,Ocker
Silver,#C0C0C0,Silber
Skyblue,#87CEEB,Himmelblau
Slateblue,#6A5ACD,Schieferblau
Slategray,#708090,Schiefergrau
Snow,#FFFAFA,Schneeweiß
Springgreen,#00FF7F,Frühlingsgrün
Steelblue,#4682B4,Stahlblau
Tan,#D2B48C,Gelbbraun
Teal,#008080,Entenbraun
Thistle,#D8BFD8,Distel
Tomato,#FF6347,Tomatenrot
Turquoise,#40E0D0,Türkis
Violet,#EE82EE,Violett
Wheat,#F5DEB3,Weizen
White,#FFFFFF,Weiß
Whitesmoke,#F5F5F5,Rauchiges Weiß
Whitesmoke,#F5F5F5,Rauchigweiß
Yellow,#FFFF00,Gelb
Yellowgreen,#9ACD32,Gelbgrün
